track_genre,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
acoustic,0.55,0.435,0.043,0.567,0.038,0.153,0.424
afrobeat,0.669,0.704,0.088,0.269,0.25,0.183,0.698
alt-rock,0.536,0.754,0.055,0.122,0.051,0.209,0.521
alternative,0.562,0.719,0.07,0.149,0.036,0.2,0.497
ambient,0.371,0.226,0.042,0.8,0.681,0.126,0.171
anime,0.538,0.674,0.087,0.267,0.264,0.197,0.435
black-metal,0.307,0.889,0.087,0.023,0.422,0.241,0.209
bluegrass,0.537,0.527,0.038,0.557,0.134,0.215,0.636
blues,0.572,0.581,0.064,0.399,0.032,0.19,0.608
brazil,0.576,0.623,0.098,0.336,0.014,0.29,0.49
breakbeat,0.65,0.858,0.09,0.033,0.355,0.223,0.485
british,0.506,0.503,0.05,0.429,0.191,0.173,0.447
cantopop,0.548,0.462,0.039,0.536,0.013,0.192,0.394
chicago-house,0.762,0.743,0.077,0.038,0.445,0.142,0.599
children,0.717,0.495,0.093,0.498,0.061,0.182,0.694
chill,0.665,0.426,0.102,0.535,0.178,0.168,0.404
classical,0.385,0.188,0.05,0.921,0.621,0.162,0.393
club,0.605,0.725,0.095,0.159,0.345,0.2,0.372
comedy,0.581,0.694,0.744,0.72,0.0,0.653,0.467
country,0.556,0.596,0.042,0.321,0.005,0.176,0.522
dance,0.688,0.709,0.088,0.132,0.008,0.168,0.552
dancehall,0.734,0.685,0.187,0.216,0.006,0.157,0.629
death-metal,0.373,0.935,0.113,0.006,0.277,0.247,0.251
deep-house,0.707,0.745,0.06,0.106,0.196,0.175,0.457
detroit-techno,0.716,0.73,0.073,0.066,0.669,0.154,0.498
disco,0.678,0.739,0.06,0.169,0.069,0.198,0.678
disney,0.462,0.301,0.074,0.744,0.385,0.168,0.368
drum-and-bass,0.534,0.878,0.092,0.026,0.362,0.222,0.319
dub,0.574,0.716,0.097,0.123,0.085,0.19,0.386
dubstep,0.518,0.758,0.09,0.114,0.092,0.199,0.273
edm,0.649,0.756,0.07,0.115,0.04,0.192,0.465
electro,0.651,0.665,0.079,0.228,0.037,0.185,0.467
electronic,0.651,0.697,0.083,0.18,0.219,0.192,0.401
emo,0.6,0.671,0.109,0.194,0.031,0.183,0.443
folk,0.564,0.536,0.057,0.482,0.039,0.166,0.482
forro,0.65,0.789,0.057,0.398,0.001,0.295,0.76
french,0.654,0.595,0.127,0.352,0.151,0.174,0.434
funk,0.68,0.635,0.149,0.299,0.008,0.181,0.601
garage,0.483,0.745,0.066,0.169,0.188,0.213,0.519
german,0.542,0.551,0.102,0.37,0.253,0.196,0.397
gospel,0.489,0.575,0.041,0.395,0.003,0.284,0.339
goth,0.485,0.743,0.074,0.167,0.121,0.222,0.456
grindcore,0.272,0.925,0.137,0.009,0.539,0.282,0.217
groove,0.594,0.775,0.072,0.126,0.149,0.224,0.439
grunge,0.459,0.804,0.061,0.053,0.036,0.222,0.402
guitar,0.544,0.321,0.052,0.777,0.515,0.147,0.435
happy,0.552,0.912,0.12,0.058,0.256,0.287,0.332
hard-rock,0.491,0.798,0.066,0.089,0.045,0.222,0.526
hardcore,0.547,0.842,0.149,0.065,0.066,0.235,0.498
hardstyle,0.537,0.902,0.123,0.052,0.132,0.261,0.314
heavy-metal,0.428,0.879,0.075,0.014,0.077,0.274,0.393
hip-hop,0.737,0.682,0.129,0.195,0.011,0.192,0.551
honky-tonk,0.572,0.367,0.037,0.711,0.058,0.191,0.633
house,0.669,0.755,0.069,0.109,0.038,0.188,0.495
idm,0.527,0.555,0.077,0.378,0.661,0.169,0.309
indian,0.595,0.565,0.071,0.486,0.041,0.172,0.46
indie,0.588,0.557,0.063,0.38,0.053,0.161,0.468
indie-pop,0.605,0.561,0.066,0.371,0.041,0.168,0.461
industrial,0.533,0.865,0.088,0.036,0.18,0.231,0.432
iranian,0.322,0.589,0.093,0.387,0.554,0.197,0.169
j-dance,0.68,0.702,0.22,0.232,0.028,0.184,0.565
