track_genre,track_count,avg_popularity,avg_danceability,avg_energy,avg_valence,avg_tempo,avg_duration_min,avg_loudness,avg_acousticness,pct_explicit
pop-film,945,59.488,0.599,0.604,0.527,117.605,4.514,-7.81,0.441,0.1
k-pop,957,57.318,0.652,0.679,0.553,119.541,3.915,-6.32,0.279,5.1
chill,997,53.729,0.665,0.426,0.404,115.488,2.809,-10.465,0.535,17.2
sad,1000,52.379,0.692,0.462,0.422,119.065,2.563,-10.275,0.474,45.0
grunge,988,49.576,0.459,0.804,0.402,129.428,3.889,-5.643,0.053,7.3
indian,969,49.557,0.595,0.565,0.46,116.287,3.926,-8.846,0.486,2.5
anime,992,48.855,0.538,0.674,0.435,123.632,3.474,-7.937,0.267,5.4
emo,991,48.166,0.6,0.671,0.443,127.029,3.118,-6.719,0.194,46.9
sertanejo,996,47.844,0.592,0.711,0.621,126.995,3.393,-5.484,0.437,0.6
pop,985,47.812,0.631,0.606,0.507,121.036,3.649,-6.966,0.344,7.3
progressive-house,970,47.085,0.623,0.815,0.369,125.069,3.325,-5.364,0.062,5.4
deep-house,915,45.999,0.707,0.745,0.457,120.681,3.324,-6.767,0.106,2.7
piano,989,45.357,0.456,0.32,0.315,118.247,3.362,-17.011,0.704,1.2
mandopop,996,45.058,0.547,0.498,0.35,123.341,4.18,-8.178,0.481,0.8
electronic,934,44.407,0.651,0.697,0.401,122.941,3.617,-6.96,0.18,12.8
brazil,886,44.392,0.576,0.623,0.49,121.545,4.079,-7.596,0.336,8.9
ambient,912,44.264,0.371,0.226,0.171,110.562,3.558,-18.888,0.8,0.5
pagode,962,44.257,0.581,0.713,0.687,126.551,3.645,-7.254,0.534,1.5
british,953,44.018,0.506,0.503,0.447,117.953,3.443,-10.569,0.429,4.1
metalcore,985,43.571,0.424,0.915,0.316,130.654,3.752,-4.437,0.01,29.0
metal,939,43.148,0.47,0.844,0.427,128.064,4.06,-5.328,0.038,14.6
psych-rock,924,42.495,0.512,0.563,0.581,121.428,3.349,-9.896,0.319,1.3
acoustic,995,42.488,0.55,0.435,0.424,119.042,3.561,-9.446,0.567,5.1
dubstep,992,42.422,0.518,0.758,0.273,133.73,3.739,-5.065,0.114,9.6
hard-rock,936,42.037,0.491,0.798,0.526,125.842,3.974,-6.698,0.089,4.7
forro,990,41.843,0.65,0.789,0.76,140.429,3.139,-5.124,0.398,1.8
world-music,847,41.496,0.428,0.538,0.268,120.575,4.381,-9.456,0.312,0.0
french,975,41.301,0.654,0.595,0.434,117.729,3.354,-8.838,0.352,22.5
gospel,840,41.279,0.489,0.575,0.339,125.042,4.644,-7.119,0.395,0.0
j-pop,986,41.175,0.552,0.683,0.544,124.658,3.898,-6.238,0.278,1.2
garage,987,41.147,0.483,0.745,0.519,127.135,3.28,-6.54,0.169,9.6
mpb,985,40.773,0.575,0.58,0.558,120.492,3.763,-9.113,0.422,0.5
turkish,992,40.749,0.616,0.611,0.464,120.274,3.632,-8.212,0.32,21.8
indie-pop,991,40.654,0.605,0.561,0.461,120.119,3.391,-7.992,0.371,10.7
j-rock,980,40.611,0.511,0.765,0.542,128.605,4.01,-5.659,0.167,1.6
dub,982,40.309,0.574,0.716,0.386,129.491,3.789,-6.001,0.123,7.5
techno,700,39.104,0.663,0.767,0.361,129.277,4.224,-7.539,0.1,2.9
indie,992,38.86,0.588,0.557,0.468,118.808,3.462,-8.266,0.38,8.5
samba,963,38.844,0.577,0.671,0.693,117.996,3.636,-8.517,0.49,0.1
trance,795,38.551,0.575,0.846,0.291,132.053,3.667,-6.137,0.041,2.8
groove,920,38.293,0.594,0.775,0.439,123.686,3.901,-6.282,0.126,10.1
punk,986,38.263,0.5,0.81,0.556,133.579,3.546,-5.713,0.088,10.4
punk-rock,986,38.224,0.508,0.81,0.569,132.127,3.551,-5.896,0.082,8.1
folk,918,38.148,0.564,0.536,0.482,118.309,3.85,-9.071,0.482,0.7
spanish,984,38.028,0.607,0.707,0.552,122.898,3.781,-6.474,0.271,3.8
hip-hop,982,37.988,0.737,0.682,0.551,116.536,3.408,-5.983,0.195,31.3
songwriter,983,37.847,0.563,0.433,0.415,119.795,3.56,-9.788,0.555,4.8
singer-songwriter,983,37.847,0.563,0.433,0.415,119.795,3.56,-9.788,0.555,4.8
swedish,990,37.311,0.592,0.623,0.535,120.988,3.445,-7.768,0.325,9.6
synth-pop,976,36.714,0.621,0.712,0.589,122.983,3.995,-8.206,0.153,4.5
r-n-b,979,36.538,0.614,0.638,0.634,124.408,3.558,-7.544,0.371,8.4
electro,997,36.132,0.651,0.665,0.467,120.878,3.228,-6.124,0.228,15.2
hardcore,991,36.101,0.547,0.842,0.498,125.316,3.46,-5.764,0.065,32.7
edm,991,35.146,0.649,0.756,0.465,122.093,3.209,-5.273,0.115,10.6
children,997,35.124,0.717,0.495,0.694,123.36,2.313,-9.404,0.498,0.0
ska,989,35.103,0.581,0.794,0.699,128.387,3.647,-6.32,0.122,2.4
sleep,965,34.966,0.169,0.339,0.06,84.598,2.599,-24.273,0.66,0.0
cantopop,996,34.75,0.548,0.462,0.394,124.277,3.801,-9.662,0.536,0.2
trip-hop,905,34.636,0.637,0.619,0.488,118.567,4.212,-9.15,0.233,4.9
rock-n-roll,999,34.438,0.55,0.527,0.671,120.4,2.888,-9.382,0.553,0.2
house,997,34.258,0.669,0.755,0.495,121.114,3.171,-5.256,0.109,10.7
alt-rock,984,33.956,0.536,0.754,0.521,124.713,3.865,-6.182,0.122,5.7
minimal-techno,567,33.938,0.717,0.687,0.309,124.76,4.755,-9.594,0.087,0.5
disco,950,33.776,0.678,0.739,0.678,122.01,3.888,-7.349,0.169,0.6
dancehall,993,33.525,0.734,0.685,0.629,112.966,3.237,-6.113,0.216,30.3
club,982,33.483,0.605,0.725,0.372,123.418,3.383,-6.81,0.159,8.6
funk,966,32.155,0.68,0.635,0.601,117.802,3.399,-6.508,0.299,30.5
death-metal,930,32.019,0.373,0.935,0.251,124.013,3.843,-5.297,0.006,25.8
rockabilly,999,31.503,0.561,0.659,0.727,123.657,2.875,-8.205,0.447,0.5
show-tunes,961,31.362,0.464,0.4,0.381,114.426,3.248,-10.663,0.635,1.7
industrial,949,31.154,0.533,0.865,0.432,126.959,4.066,-5.89,0.036,24.4
blues,970,30.96,0.572,0.581,0.608,116.566,3.598,-8.488,0.399,1.4
malay,948,30.662,0.632,0.58,0.504,118.963,4.029,-8.358,0.405,3.7
new-age,814,29.662,0.363,0.222,0.196,109.633,4.092,-18.055,0.821,0.6
guitar,974,29.553,0.544,0.321,0.435,111.952,3.291,-14.104,0.777,0.2
goth,933,28.852,0.485,0.743,0.456,124.446,3.956,-7.11,0.167,6.5
salsa,961,28.025,0.672,0.723,0.817,119.746,4.463,-6.936,0.47,0.3
disney,992,27.578,0.462,0.301,0.368,111.958,2.572,-14.993,0.744,0.1
german,907,27.509,0.542,0.551,0.397,118.085,3.26,-10.836,0.37,13.9
drum-and-bass,948,26.974,0.534,0.878,0.319,155.128,4.44,-4.044,0.026,2.5
power-pop,988,26.898,0.474,0.802,0.616,134.658,3.062,-6.669,0.086,3.3
hardstyle,967,26.863,0.537,0.902,0.314,146.871,3.649,-4.302,0.052,9.8
j-dance,988,26.695,0.68,0.702,0.565,114.849,3.21,-6.069,0.232,39.1
heavy-metal,961,26.187,0.428,0.879,0.393,126.72,4.062,-5.675,0.014,8.5
study,998,26.128,0.685,0.411,0.403,111.818,2.359,-10.847,0.531,0.0
latino,989,25.768,0.757,0.731,0.629,119.454,3.482,-5.184,0.173,25.0
bluegrass,964,25.735,0.537,0.527,0.636,126.652,3.506,-9.923,0.557,0.5
opera,939,24.794,0.316,0.315,0.219,105.465,3.644,-13.478,0.801,0.0
comedy,898,24.749,0.581,0.694,0.467,101.425,3.211,-10.485,0.72,65.9
j-idol,994,24.74,0.549,0.869,0.579,136.121,4.246,-3.771,0.152,0.1
afrobeat,918,24.645,0.669,0.704,0.698,119.326,3.794,-7.705,0.269,2.0
alternative,988,24.278,0.562,0.719,0.497,122.228,3.66,-6.068,0.149,16.5
reggaeton,995,23.778,0.759,0.738,0.642,118.92,3.518,-4.987,0.164,21.2
dance,962,23.475,0.688,0.709,0.552,120.414,3.281,-5.334,0.132,17.7
black-metal,800,22.479,0.307,0.889,0.209,129.419,4.294,-6.282,0.023,14.8
happy,960,21.855,0.552,0.912,0.332,152.869,3.91,-5.363,0.058,12.8
party,990,21.03,0.668,0.871,0.681,131.384,3.289,-4.411,0.092,4.4
reggae,993,20.468,0.747,0.726,0.649,119.802,3.553,-5.288,0.174,16.7
breakbeat,832,20.388,0.65,0.858,0.485,132.7,4.424,-5.635,0.033,5.6
tango,991,19.871,0.54,0.374,0.587,114.808,3.003,-10.0,0.846,0.0
soul,986,19.593,0.602,0.534,0.526,114.359,3.276,-8.284,0.402,10.3
rock,984,18.665,0.545,0.679,0.541,126.359,3.601,-6.637,0.211,4.3
country,994,16.828,0.556,0.596,0.522,124.02,3.41,-7.286,0.321,3.0
honky-tonk,981,16.411,0.572,0.367,0.633,116.616,2.704,-11.734,0.711,0.0
idm,875,15.888,0.527,0.555,0.309,122.709,3.906,-12.258,0.378,1.5
kids,984,14.958,0.779,0.613,0.682,121.805,2.578,-8.116,0.24,0.8
grindcore,984,14.602,0.272,0.925,0.217,119.244,2.153,-6.234,0.009,15.2
classical,789,13.383,0.385,0.188,0.393,108.056,2.835,-20.27,0.921,0.0
jazz,977,13.193,0.509,0.351,0.492,112.744,3.052,-11.546,0.716,0.3
chicago-house,636,12.516,0.762,0.743,0.599,124.015,4.815,-8.952,0.038,1.7
detroit-techno,588,11.405,0.716,0.73,0.498,127.539,4.656,-10.89,0.066,1.0
latin,988,8.38,0.722,0.727,0.632,119.885,3.559,-5.273,0.184,13.3
romance,888,3.52,0.432,0.299,0.398,109.693,3.287,-13.055,0.867,0.5
iranian,748,1.829,0.322,0.589,0.169,117.067,4.133,-12.212,0.387,9.4
